EventType;Timestamp;DeviceID;User  ID;Details;Value;fl_work;work_time_per
ЗажеваннаяКупюра;01.10.2023 18:42;Банкомат58;Пользователь53;Купюра зажевана в Банкомат58;100;0;94
СнятиеНаличными;01.10.2023 18:46;Банкомат14;Пользователь39;Пользователь Пользователь39 снял 999 рублей с Банкомат14;999;0;96
ОбновлениеБезопасности;01.10.2023 18:48;Банкомат27;Пользователь84;Обновление систем безопасности в Банкомат27;Успешно;0;94
ПроверкаБаланс;01.10.2023 18:49;Банкомат89;Пользователь67;Проверка баланса пользователем Пользователь67 в Банкомат89;4945;1;98
ЗавершениеТранзакции;01.10.2023 18:52;Банкомат49;Пользователь9;Транзакция завершена в Банкомат49;Не удалось;0;77
ПроверкаЖесткогоДиска;01.10.2023 18:53;Банкомат88;Пользователь34;Проверка жесткого диска в Банкомат88;29;0;55
ОшибкаПриемаКупюр;01.10.2023 18:54;Банкомат6;Пользователь37;Ошибка приема купюр в Банкомат6;Купюра повреждена;1;56
ПроверкаЭнергоснабжения;01.10.2023 18:57;Банкомат90;Пользователь10;Проверка состояния энергоснабжения в Банкомат90;Энергоснабжение в порядке;1;79
ПерезагрузкаУстройства;01.10.2023 18:58;Банкомат28;Пользователь57;Устройство Банкомат28 перезагружено;;1;79
ЗагрузкаПроцессораВысокая;01.10.2023 19:02;Банкомат29;Пользователь87;Высокая загрузка процессора в Банкомат29;94;1;81
ОшибкаВыдачиНаличности;01.10.2023 19:07;Банкомат9;Пользователь56;Ошибка выдачи наличности в Банкомат9;Купюры отсутствуют;1;76
ПерезагрузкаУстройства;01.10.2023 19:07;Банкомат66;Пользователь22;Устройство Банкомат66 перезагружено;;1;60
ОшибкаОбновления;01.10.2023 19:11;Банкомат17;Пользователь4;Ошибка обновления в Банкомат17;Ошибка совместимости;1;72
ЗагрузкаПроцессораВысокая;01.10.2023 19:15;Банкомат59;Пользователь61;Высокая загрузка процессора в Банкомат59;82;0;90
ОшибкаСети;01.10.2023 19:19;Банкомат11;Пользователь31;Ошибка сети в Банкомат11;Потеря пакетов;1;51
ПроверкаКассеты;01.10.2023 19:21;Банкомат4;Пользователь4;Проверка состояния кассеты в Банкомат4;Хорошее;1;94
ОшибкаВыдачиНаличности;01.10.2023 19:25;Банкомат78;Пользователь49;Ошибка выдачи наличности в Банкомат78;Ошибка механизма;0;68
